threat_id,latitude,longitude,village_id,threat_type,severity,date,description,image_filename,resolved
ENV0231,19.923198,74.361343,VLG037,Invasive Species,High,2022-11-03,Flagged via citizen report app,ENV0231.jpg,False
ENV0232,19.861579,74.518571,VLG018,Water Pollution,Low,2020-08-02,Flagged via citizen report app,ENV0232.jpg,True
ENV0233,19.858094,74.492631,VLG098,Water Pollution,Moderate,2016-10-23,Flagged via citizen report app,ENV0233.jpg,False
ENV0234,19.914864,74.412047,VLG043,Invasive Species,High,2024-01-01,Noted by forest officer,ENV0234.jpg,False
ENV0235,19.914994,74.592034,VLG009,Illegal Tree Cutting,High,2017-08-06,Identified during river patrol,ENV0235.jpg,True
ENV0236,19.899772,74.524494,VLG048,Fire,Low,2017-12-16,Noted by forest officer,ENV0236.jpg,False
ENV0237,19.80414,74.395731,VLG088,Encroachment,Low,2022-11-05,Reported by local resident,ENV0237.jpg,False
ENV0238,19.934866,74.511427,VLG047,Sewage Discharge,High,2026-03-03,Observed during field survey,ENV0238.jpg,True
ENV0239,19.817652,74.460128,VLG049,Illegal Tree Cutting,Low,2021-09-22,Observed during field survey,ENV0239.jpg,False
ENV0240,19.814091,74.452868,VLG059,Sand Mining,Low,2023-11-17,Identified during river patrol,ENV0240.jpg,False
ENV0241,19.819111,74.480863,VLG059,Fire,Critical,2022-12-22,Flagged via citizen report app,ENV0241.jpg,False
ENV0242,19.804874,74.427259,VLG076,Illegal Tree Cutting,High,2017-05-28,Flagged via citizen report app,ENV0242.jpg,True
ENV0243,19.812479,74.574423,VLG082,Soil Erosion,Critical,2019-11-26,Flagged via citizen report app,ENV0243.jpg,True
ENV0244,19.927833,74.355544,VLG020,Fire,Moderate,2021-08-24,Reported by local resident,ENV0244.jpg,True
ENV0245,19.874081,74.41381,VLG077,Invasive Species,Critical,2021-05-25,Reported by local resident,ENV0245.jpg,False
ENV0246,19.843065,74.578734,VLG037,Fire,Low,2025-01-08,Observed during field survey,ENV0246.jpg,True
ENV0247,19.844952,74.476612,VLG014,Water Pollution,Critical,2023-05-05,Noted by forest officer,ENV0247.jpg,False
ENV0248,19.936426,74.567883,VLG067,Encroachment,Critical,2018-06-25,Noted by forest officer,ENV0248.jpg,True
ENV0249,19.924523,74.440926,VLG078,Fire,Critical,2024-09-09,Identified during river patrol,ENV0249.jpg,True
ENV0250,19.849878,74.497809,VLG012,Sewage Discharge,Critical,2024-10-07,Observed during field survey,ENV0250.jpg,False
ENV0251,19.908486,74.3751,VLG076,Encroachment,High,2024-12-24,Noted by forest officer,ENV0251.jpg,False
ENV0252,19.922455,74.52434,VLG046,Encroachment,High,2018-06-03,Observed during field survey,ENV0252.jpg,False
ENV0253,19.826799,74.509002,VLG054,Sewage Discharge,Moderate,2018-01-08,Flagged via citizen report app,ENV0253.jpg,False
ENV0254,19.878646,74.593863,VLG078,Encroachment,Critical,2017-07-14,Observed during field survey,ENV0254.jpg,False
ENV0255,19.929562,74.379363,VLG027,Water Pollution,Low,2023-07-22,Observed during field survey,ENV0255.jpg,True
ENV0256,19.884606,74.398451,VLG012,Soil Erosion,Low,2016-08-16,Identified during river patrol,ENV0256.jpg,False
ENV0257,19.825557,74.565439,VLG015,Water Pollution,Moderate,2016-10-06,Flagged via citizen report app,ENV0257.jpg,True
ENV0258,19.823805,74.57592,VLG052,Encroachment,Critical,2025-03-30,Noted by forest officer,ENV0258.jpg,True
ENV0259,19.871059,74.496226,VLG040,Plastic Waste,Critical,2025-01-05,Noted by forest officer,ENV0259.jpg,True
ENV0260,19.916473,74.411516,VLG067,Sand Mining,Critical,2022-08-08,Flagged via citizen report app,ENV0260.jpg,False
ENV0261,19.884126,74.388999,VLG016,Sand Mining,High,2023-11-29,Reported by local resident,ENV0261.jpg,True
ENV0262,19.82583,74.37053,VLG078,Pesticide Runoff,Moderate,2025-01-16,Reported by local resident,ENV0262.jpg,True
ENV0263,19.949375,74.430702,VLG004,Encroachment,Critical,2021-10-25,Identified during river patrol,ENV0263.jpg,False
ENV0264,19.93682,74.583315,VLG002,Water Pollution,Critical,2022-12-21,Observed during field survey,ENV0264.jpg,True
ENV0265,19.915936,74.419132,VLG016,Pesticide Runoff,High,2024-10-17,Identified during river patrol,ENV0265.jpg,True
ENV0266,19.863579,74.437916,VLG092,Illegal Tree Cutting,High,2024-05-06,Observed during field survey,ENV0266.jpg,True
ENV0267,19.86394,74.377695,VLG078,Soil Erosion,Moderate,2021-06-17,Flagged via citizen report app,ENV0267.jpg,False
ENV0268,19.848712,74.514979,VLG032,Fire,Low,2018-10-24,Flagged via citizen report app,ENV0268.jpg,False
ENV0269,19.882631,74.558596,VLG017,Fire,Low,2017-05-04,Flagged via citizen report app,ENV0269.jpg,False
ENV0270,19.911028,74.579081,VLG022,Illegal Tree Cutting,Low,2025-03-11,Reported by local resident,ENV0270.jpg,False
ENV0271,19.810438,74.524859,VLG090,Sewage Discharge,Critical,2023-11-10,Observed during field survey,ENV0271.jpg,True
ENV0272,19.917913,74.377399,VLG032,Plastic Waste,Critical,2021-10-13,Identified during river patrol,ENV0272.jpg,True
ENV0273,19.916869,74.517761,VLG026,Fire,High,2023-10-18,Identified during river patrol,ENV0273.jpg,False
ENV0274,19.898078,74.488331,VLG076,Sewage Discharge,Critical,2026-04-28,Identified during river patrol,ENV0274.jpg,False
ENV0275,19.91711,74.393985,VLG087,Pesticide Runoff,High,2018-02-05,Observed during field survey,ENV0275.jpg,True
ENV0276,19.802751,74.546534,VLG098,Sand Mining,Low,2024-06-27,Identified during river patrol,ENV0276.jpg,False
ENV0277,19.913073,74.374758,VLG008,Sewage Discharge,Critical,2023-01-11,Noted by forest officer,ENV0277.jpg,True
ENV0278,19.944763,74.594625,VLG084,Sand Mining,Moderate,2021-11-29,Noted by forest officer,ENV0278.jpg,True
ENV0279,19.88848,74.378579,VLG046,Pesticide Runoff,High,2022-08-19,Flagged via citizen report app,ENV0279.jpg,True
ENV0280,19.896454,74.598382,VLG038,Pesticide Runoff,Moderate,2020-11-25,Flagged via citizen report app,ENV0280.jpg,False
ENV0281,19.865134,74.453085,VLG040,Sewage Discharge,Moderate,2022-08-27,Identified during river patrol,ENV0281.jpg,False
ENV0282,19.815056,74.352686,VLG074,Pesticide Runoff,Low,2016-09-28,Observed during field survey,ENV0282.jpg,False
ENV0283,19.854352,74.488974,VLG080,Pesticide Runoff,Low,2017-05-11,Reported by local resident,ENV0283.jpg,True
ENV0284,19.899858,74.595191,VLG095,Encroachment,Critical,2017-07-11,Identified during river patrol,ENV0284.jpg,True
ENV0285,19.887359,74.396969,VLG084,Encroachment,Critical,2016-08-10,Identified during river patrol,ENV0285.jpg,False
ENV0286,19.933736,74.499842,VLG003,Water Pollution,Critical,2018-01-24,Identified during river patrol,ENV0286.jpg,False
ENV0287,19.810334,74.431763,VLG019,Fire,High,2016-12-23,Observed during field survey,ENV0287.jpg,False
ENV0288,19.947197,74.447084,VLG042,Sewage Discharge,Critical,2022-05-21,Identified during river patrol,ENV0288.jpg,False
ENV0289,19.806355,74.57029,VLG035,Invasive Species,Low,2017-06-18,Flagged via citizen report app,ENV0289.jpg,False
ENV0290,19.830874,74.507853,VLG071,Sand Mining,High,2024-04-11,Flagged via citizen report app,ENV0290.jpg,True
ENV0291,19.877746,74.434806,VLG094,Water Pollution,Critical,2020-09-01,Identified during river patrol,ENV0291.jpg,False
ENV0292,19.926153,74.474279,VLG092,Plastic Waste,Moderate,2019-01-03,Flagged via citizen report app,ENV0292.jpg,True
ENV0293,19.863215,74.387432,VLG060,Pesticide Runoff,Moderate,2024-09-17,Observed during field survey,ENV0293.jpg,False
ENV0294,19.89696,74.410992,VLG024,Pesticide Runoff,Low,2026-06-15,Flagged via citizen report app,ENV0294.jpg,True
ENV0295,19.880805,74.446445,VLG095,Plastic Waste,Moderate,2019-02-18,Identified during river patrol,ENV0295.jpg,False
ENV0296,19.855854,74.592159,VLG080,Pesticide Runoff,Moderate,2025-12-04,Reported by local resident,ENV0296.jpg,False
ENV0297,19.853758,74.357025,VLG030,Illegal Tree Cutting,High,2018-12-19,Reported by local resident,ENV0297.jpg,True
ENV0298,19.870172,74.531087,VLG025,Sewage Discharge,Critical,2022-09-27,Identified during river patrol,ENV0298.jpg,False
ENV0299,19.828996,74.573601,VLG059,Sewage Discharge,Low,2026-05-31,Noted by forest officer,ENV0299.jpg,True
ENV0300,19.82124,74.58851,VLG023,Plastic Waste,Low,2022-10-21,Noted by forest officer,ENV0300.jpg,True
ENV0301,19.842258,74.477944,VLG052,Invasive Species,Low,2021-03-18,Noted by forest officer,ENV0301.jpg,True
ENV0302,19.900147,74.432642,VLG092,Invasive Species,Critical,2020-03-14,Reported by local resident,ENV0302.jpg,False
ENV0303,19.944476,74.551406,VLG092,Soil Erosion,Moderate,2017-08-21,Observed during field survey,ENV0303.jpg,False
ENV0304,19.92205,74.558675,VLG093,Plastic Waste,Low,2025-11-13,Noted by forest officer,ENV0304.jpg,False
ENV0305,19.94334,74.517271,VLG012,Invasive Species,Moderate,2021-05-07,Observed during field survey,ENV0305.jpg,True
ENV0306,19.81815,74.354952,VLG099,Sand Mining,Critical,2018-01-07,Observed during field survey,ENV0306.jpg,False
ENV0307,19.921382,74.444625,VLG007,Sand Mining,High,2020-03-19,Identified during river patrol,ENV0307.jpg,True
ENV0308,19.907422,74.576034,VLG051,Pesticide Runoff,Critical,2017-04-27,Flagged via citizen report app,ENV0308.jpg,True
ENV0309,19.845038,74.573242,VLG076,Water Pollution,High,2025-11-11,Identified during river patrol,ENV0309.jpg,False
ENV0310,19.937451,74.385612,VLG030,Plastic Waste,Critical,2022-11-06,Identified during river patrol,ENV0310.jpg,False
ENV0311,19.845056,74.512334,VLG009,Illegal Tree Cutting,Moderate,2021-10-28,Noted by forest officer,ENV0311.jpg,True
ENV0312,19.859285,74.565346,VLG067,Water Pollution,High,2018-08-26,Identified during river patrol,ENV0312.jpg,False
ENV0313,19.887244,74.512379,VLG055,Illegal Tree Cutting,Low,2017-04-24,Flagged via citizen report app,ENV0313.jpg,True
ENV0314,19.93082,74.592212,VLG050,Illegal Tree Cutting,High,2020-03-10,Identified during river patrol,ENV0314.jpg,False
ENV0315,19.898303,74.499041,VLG070,Sewage Discharge,Critical,2018-11-02,Flagged via citizen report app,ENV0315.jpg,True
ENV0316,19.91491,74.461176,VLG063,Water Pollution,Low,2025-02-19,Reported by local resident,ENV0316.jpg,False
ENV0317,19.904072,74.445314,VLG096,Sand Mining,High,2017-07-31,Noted by forest officer,ENV0317.jpg,False
ENV0318,19.84098,74.44837,VLG016,Encroachment,Low,2026-04-26,Noted by forest officer,ENV0318.jpg,False
ENV0319,19.921253,74.494518,VLG099,Pesticide Runoff,Moderate,2020-04-24,Observed during field survey,ENV0319.jpg,True
ENV0320,19.908185,74.468005,VLG075,Illegal Tree Cutting,Low,2021-12-19,Observed during field survey,ENV0320.jpg,True
ENV0321,19.912525,74.396763,VLG047,Illegal Tree Cutting,High,2018-03-20,Identified during river patrol,ENV0321.jpg,True
ENV0322,19.817501,74.383064,VLG047,Illegal Tree Cutting,Low,2026-03-14,Observed during field survey,ENV0322.jpg,True
ENV0323,19.829464,74.369376,VLG053,Plastic Waste,Critical,2023-05-28,Noted by forest officer,ENV0323.jpg,True
ENV0324,19.904023,74.543677,VLG011,Plastic Waste,Critical,2017-12-25,Flagged via citizen report app,ENV0324.jpg,True
ENV0325,19.808502,74.416948,VLG059,Illegal Tree Cutting,High,2018-09-22,Identified during river patrol,ENV0325.jpg,False
ENV0326,19.931991,74.419516,VLG098,Soil Erosion,High,2024-07-30,Observed during field survey,ENV0326.jpg,True
ENV0327,19.898842,74.449812,VLG005,Pesticide Runoff,Low,2023-03-27,Observed during field survey,ENV0327.jpg,False
ENV0328,19.933925,74.501949,VLG082,Soil Erosion,Moderate,2017-05-12,Observed during field survey,ENV0328.jpg,False
ENV0329,19.804819,74.500097,VLG003,Fire,High,2024-02-16,Identified during river patrol,ENV0329.jpg,False
ENV0330,19.879463,74.507669,VLG034,Sewage Discharge,High,2025-03-31,Noted by forest officer,ENV0330.jpg,False
ENV0331,19.862469,74.436083,VLG092,Water Pollution,Moderate,2020-02-25,Observed during field survey,ENV0331.jpg,True
ENV0332,19.922068,74.359311,VLG069,Soil Erosion,Critical,2017-02-07,Noted by forest officer,ENV0332.jpg,True
ENV0333,19.908575,74.461187,VLG092,Sewage Discharge,Critical,2018-08-02,Identified during river patrol,ENV0333.jpg,True
ENV0334,19.880569,74.427627,VLG001,Plastic Waste,High,2026-04-23,Flagged via citizen report app,ENV0334.jpg,False
ENV0335,19.89544,74.505197,VLG036,Water Pollution,Moderate,2025-03-05,Identified during river patrol,ENV0335.jpg,True
ENV0336,19.895489,74.576968,VLG053,Illegal Tree Cutting,Moderate,2018-06-02,Identified during river patrol,ENV0336.jpg,True
ENV0337,19.937582,74.439437,VLG033,Sand Mining,Moderate,2018-07-19,Flagged via citizen report app,ENV0337.jpg,False
ENV0338,19.872663,74.475501,VLG084,Sand Mining,Low,2025-11-20,Observed during field survey,ENV0338.jpg,True
ENV0339,19.886737,74.533844,VLG100,Soil Erosion,Critical,2022-09-03,Reported by local resident,ENV0339.jpg,True
ENV0340,19.92947,74.440375,VLG036,Pesticide Runoff,Critical,2025-04-25,Reported by local resident,ENV0340.jpg,False
ENV0341,19.853062,74.44241,VLG042,Illegal Tree Cutting,Critical,2023-07-27,Flagged via citizen report app,ENV0341.jpg,False
ENV0342,19.885006,74.473181,VLG017,Pesticide Runoff,Critical,2022-11-07,Noted by forest officer,ENV0342.jpg,True
ENV0343,19.937001,74.552097,VLG033,Sewage Discharge,Moderate,2016-08-27,Identified during river patrol,ENV0343.jpg,True
ENV0344,19.829624,74.425881,VLG055,Invasive Species,Moderate,2019-01-22,Observed during field survey,ENV0344.jpg,True
ENV0345,19.901835,74.443724,VLG074,Plastic Waste,High,2021-09-02,Reported by local resident,ENV0345.jpg,True
ENV0346,19.828783,74.37225,VLG016,Encroachment,Low,2023-12-10,Identified during river patrol,ENV0346.jpg,False
ENV0347,19.89793,74.562562,VLG088,Fire,High,2020-11-18,Flagged via citizen report app,ENV0347.jpg,False
ENV0348,19.84854,74.383686,VLG068,Sand Mining,Moderate,2020-05-01,Flagged via citizen report app,ENV0348.jpg,False
ENV0349,19.936998,74.513408,VLG066,Pesticide Runoff,Critical,2016-08-28,Identified during river patrol,ENV0349.jpg,False
ENV0350,19.931211,74.354128,VLG077,Fire,Low,2021-02-17,Reported by local resident,ENV0350.jpg,False
ENV0351,19.92739,74.537384,VLG011,Soil Erosion,Moderate,2016-11-09,Identified during river patrol,ENV0351.jpg,True
ENV0352,19.908508,74.52591,VLG066,Encroachment,Low,2017-07-04,Reported by local resident,ENV0352.jpg,True
ENV0353,19.871732,74.545416,VLG038,Encroachment,High,2022-07-08,Reported by local resident,ENV0353.jpg,False
ENV0354,19.842214,74.505957,VLG039,Invasive Species,High,2021-11-15,Noted by forest officer,ENV0354.jpg,False
ENV0355,19.85149,74.370287,VLG045,Encroachment,Low,2021-05-04,Noted by forest officer,ENV0355.jpg,True
ENV0356,19.826557,74.532697,VLG065,Invasive Species,Moderate,2019-12-01,Reported by local resident,ENV0356.jpg,False
ENV0357,19.940949,74.382099,VLG041,Encroachment,Low,2023-09-02,Observed during field survey,ENV0357.jpg,False
ENV0358,19.908628,74.588753,VLG065,Invasive Species,Moderate,2016-12-22,Observed during field survey,ENV0358.jpg,False
ENV0359,19.899987,74.476673,VLG054,Plastic Waste,Low,2025-09-10,Observed during field survey,ENV0359.jpg,False
ENV0360,19.894471,74.567905,VLG074,Fire,Low,2020-09-22,Identified during river patrol,ENV0360.jpg,False
ENV0361,19.909925,74.35568,VLG054,Encroachment,Low,2020-11-26,Observed during field survey,ENV0361.jpg,True
ENV0362,19.933594,74.591607,VLG001,Illegal Tree Cutting,High,2024-05-28,Flagged via citizen report app,ENV0362.jpg,False
ENV0363,19.810696,74.356981,VLG036,Pesticide Runoff,Moderate,2017-04-04,Identified during river patrol,ENV0363.jpg,True
ENV0364,19.942757,74.364444,VLG032,Sewage Discharge,High,2025-06-05,Identified during river patrol,ENV0364.jpg,False
ENV0365,19.825063,74.471254,VLG062,Pesticide Runoff,Critical,2021-08-10,Identified during river patrol,ENV0365.jpg,True
ENV0366,19.934546,74.576913,VLG048,Sand Mining,Moderate,2021-07-06,Identified during river patrol,ENV0366.jpg,True
ENV0367,19.850273,74.373764,VLG005,Water Pollution,Moderate,2017-06-14,Observed during field survey,ENV0367.jpg,False
ENV0368,19.882849,74.397712,VLG026,Illegal Tree Cutting,Critical,2020-06-24,Noted by forest officer,ENV0368.jpg,False
ENV0369,19.859503,74.58443,VLG008,Soil Erosion,High,2025-11-03,Flagged via citizen report app,ENV0369.jpg,False
ENV0370,19.819535,74.355449,VLG025,Water Pollution,Critical,2017-05-14,Observed during field survey,ENV0370.jpg,True
ENV0371,19.882078,74.522082,VLG050,Soil Erosion,Moderate,2023-03-21,Noted by forest officer,ENV0371.jpg,True
ENV0372,19.83106,74.389402,VLG061,Sewage Discharge,Critical,2018-09-01,Noted by forest officer,ENV0372.jpg,False
ENV0373,19.883625,74.41855,VLG077,Sand Mining,Critical,2018-06-28,Reported by local resident,ENV0373.jpg,True
ENV0374,19.909179,74.441153,VLG005,Water Pollution,Low,2017-03-14,Identified during river patrol,ENV0374.jpg,False
ENV0375,19.834461,74.507438,VLG100,Invasive Species,Low,2021-06-30,Identified during river patrol,ENV0375.jpg,True
ENV0376,19.801139,74.453982,VLG074,Fire,Critical,2018-04-13,Observed during field survey,ENV0376.jpg,True
ENV0377,19.941855,74.499905,VLG058,Water Pollution,Low,2025-03-11,Observed during field survey,ENV0377.jpg,True
ENV0378,19.93135,74.508275,VLG095,Sewage Discharge,High,2026-01-15,Flagged via citizen report app,ENV0378.jpg,False
ENV0379,19.868916,74.595024,VLG075,Pesticide Runoff,Low,2020-06-16,Flagged via citizen report app,ENV0379.jpg,False
ENV0380,19.840666,74.595799,VLG058,Sewage Discharge,High,2022-08-25,Observed during field survey,ENV0380.jpg,False
ENV0381,19.915278,74.575188,VLG041,Sand Mining,High,2024-09-01,Noted by forest officer,ENV0381.jpg,False
ENV0382,19.909932,74.512331,VLG058,Soil Erosion,Low,2019-07-01,Flagged via citizen report app,ENV0382.jpg,True
ENV0383,19.831419,74.572584,VLG007,Invasive Species,Low,2018-12-17,Observed during field survey,ENV0383.jpg,False
ENV0384,19.845607,74.376287,VLG042,Illegal Tree Cutting,Moderate,2019-02-20,Identified during river patrol,ENV0384.jpg,True
ENV0385,19.847592,74.507267,VLG030,Water Pollution,Critical,2026-01-09,Noted by forest officer,ENV0385.jpg,True
ENV0386,19.826339,74.424304,VLG087,Water Pollution,Critical,2023-10-02,Flagged via citizen report app,ENV0386.jpg,True
ENV0387,19.937052,74.599198,VLG027,Fire,Critical,2024-10-08,Noted by forest officer,ENV0387.jpg,False
ENV0388,19.898084,74.492913,VLG022,Water Pollution,Low,2023-07-15,Reported by local resident,ENV0388.jpg,False
ENV0389,19.843888,74.378414,VLG060,Encroachment,High,2024-05-15,Reported by local resident,ENV0389.jpg,True
ENV0390,19.948309,74.597462,VLG044,Sand Mining,Moderate,2020-11-03,Observed during field survey,ENV0390.jpg,False
ENV0391,19.90325,74.415132,VLG040,Sewage Discharge,Low,2018-05-02,Noted by forest officer,ENV0391.jpg,True
ENV0392,19.827159,74.50235,VLG029,Illegal Tree Cutting,Critical,2018-05-08,Flagged via citizen report app,ENV0392.jpg,True
ENV0393,19.907318,74.430422,VLG070,Sewage Discharge,High,2020-04-21,Identified during river patrol,ENV0393.jpg,False
ENV0394,19.913805,74.566803,VLG039,Soil Erosion,High,2019-04-02,Observed during field survey,ENV0394.jpg,False
ENV0395,19.872751,74.415206,VLG029,Encroachment,Moderate,2023-05-24,Reported by local resident,ENV0395.jpg,True
ENV0396,19.850252,74.383075,VLG012,Invasive Species,Low,2023-10-19,Identified during river patrol,ENV0396.jpg,False
ENV0397,19.942499,74.449836,VLG014,Soil Erosion,Moderate,2019-01-29,Identified during river patrol,ENV0397.jpg,False
ENV0398,19.926301,74.363831,VLG043,Illegal Tree Cutting,Critical,2023-06-03,Flagged via citizen report app,ENV0398.jpg,True
ENV0399,19.881403,74.59791,VLG003,Invasive Species,Critical,2024-06-22,Observed during field survey,ENV0399.jpg,True
ENV0400,19.91054,74.590323,VLG065,Plastic Waste,Moderate,2016-09-15,Reported by local resident,ENV0400.jpg,False
ENV0401,19.850373,74.517522,VLG005,Encroachment,Moderate,2021-10-24,Identified during river patrol,ENV0401.jpg,False
ENV0402,19.808304,74.523528,VLG037,Sewage Discharge,Low,2020-02-05,Identified during river patrol,ENV0402.jpg,True
ENV0403,19.86117,74.499173,VLG066,Illegal Tree Cutting,High,2016-12-25,Reported by local resident,ENV0403.jpg,False
ENV0404,19.89808,74.524031,VLG003,Encroachment,Low,2018-06-16,Identified during river patrol,ENV0404.jpg,True
ENV0405,19.885511,74.390568,VLG009,Illegal Tree Cutting,Critical,2022-08-18,Observed during field survey,ENV0405.jpg,False
ENV0406,19.86309,74.586401,VLG090,Sewage Discharge,Moderate,2020-02-28,Observed during field survey,ENV0406.jpg,False
ENV0407,19.837732,74.449722,VLG007,Soil Erosion,Low,2018-08-04,Identified during river patrol,ENV0407.jpg,True
ENV0408,19.815283,74.473718,VLG023,Pesticide Runoff,Critical,2021-07-23,Flagged via citizen report app,ENV0408.jpg,True
ENV0409,19.808231,74.448356,VLG082,Illegal Tree Cutting,High,2025-08-20,Reported by local resident,ENV0409.jpg,True
ENV0410,19.836373,74.480975,VLG002,Invasive Species,Low,2022-01-06,Reported by local resident,ENV0410.jpg,False
ENV0411,19.888017,74.438171,VLG067,Sand Mining,High,2024-12-06,Observed during field survey,ENV0411.jpg,True
ENV0412,19.823099,74.557883,VLG041,Invasive Species,High,2025-09-27,Identified during river patrol,ENV0412.jpg,True
ENV0413,19.829561,74.453046,VLG039,Plastic Waste,Moderate,2023-05-18,Noted by forest officer,ENV0413.jpg,False
ENV0414,19.81394,74.382801,VLG025,Soil Erosion,Low,2019-08-03,Observed during field survey,ENV0414.jpg,False
ENV0415,19.856489,74.591089,VLG012,Soil Erosion,Low,2022-03-31,Noted by forest officer,ENV0415.jpg,False
ENV0416,19.890559,74.366179,VLG095,Soil Erosion,Critical,2026-07-10,Observed during field survey,ENV0416.jpg,True
ENV0417,19.945403,74.471904,VLG064,Plastic Waste,Critical,2019-12-19,Noted by forest officer,ENV0417.jpg,True
ENV0418,19.860712,74.457669,VLG028,Illegal Tree Cutting,Moderate,2021-01-27,Noted by forest officer,ENV0418.jpg,False
ENV0419,19.836736,74.506991,VLG083,Illegal Tree Cutting,Critical,2021-10-24,Flagged via citizen report app,ENV0419.jpg,True
ENV0420,19.824629,74.512022,VLG076,Pesticide Runoff,Moderate,2025-11-07,Identified during river patrol,ENV0420.jpg,False
ENV0421,19.903948,74.535756,VLG054,Sand Mining,High,2018-01-25,Observed during field survey,ENV0421.jpg,True
ENV0422,19.947047,74.357999,VLG009,Pesticide Runoff,Moderate,2024-02-06,Observed during field survey,ENV0422.jpg,False
ENV0423,19.893682,74.427132,VLG091,Fire,Critical,2020-11-19,Noted by forest officer,ENV0423.jpg,False
ENV0424,19.901873,74.540338,VLG004,Invasive Species,Critical,2017-08-30,Observed during field survey,ENV0424.jpg,False
ENV0425,19.841995,74.562017,VLG032,Sand Mining,Moderate,2022-03-27,Flagged via citizen report app,ENV0425.jpg,False
ENV0426,19.93797,74.548034,VLG020,Invasive Species,Moderate,2025-07-28,Reported by local resident,ENV0426.jpg,True
ENV0427,19.941069,74.518235,VLG041,Encroachment,Moderate,2025-07-07,Observed during field survey,ENV0427.jpg,False
ENV0428,19.801745,74.568652,VLG058,Pesticide Runoff,Low,2021-03-29,Observed during field survey,ENV0428.jpg,False
ENV0429,19.829593,74.55779,VLG051,Sewage Discharge,Low,2022-08-29,Observed during field survey,ENV0429.jpg,False
ENV0430,19.946187,74.486754,VLG038,Water Pollution,Low,2023-01-16,Observed during field survey,ENV0430.jpg,True
ENV0431,19.873085,74.533287,VLG082,Illegal Tree Cutting,Moderate,2021-05-07,Flagged via citizen report app,ENV0431.jpg,True
ENV0432,19.813533,74.413121,VLG074,Pesticide Runoff,Moderate,2022-06-28,Reported by local resident,ENV0432.jpg,True
ENV0433,19.910638,74.377155,VLG097,Sand Mining,Critical,2025-03-14,Observed during field survey,ENV0433.jpg,False
ENV0434,19.912558,74.556644,VLG056,Plastic Waste,Moderate,2020-10-03,Observed during field survey,ENV0434.jpg,False
ENV0435,19.826624,74.525027,VLG010,Soil Erosion,Low,2021-06-14,Flagged via citizen report app,ENV0435.jpg,True
ENV0436,19.924221,74.443627,VLG084,Soil Erosion,High,2018-11-10,Reported by local resident,ENV0436.jpg,True
ENV0437,19.82332,74.5845,VLG018,Plastic Waste,High,2020-05-29,Noted by forest officer,ENV0437.jpg,False
ENV0438,19.853298,74.367666,VLG041,Plastic Waste,High,2017-03-06,Observed during field survey,ENV0438.jpg,False
ENV0439,19.919576,74.5567,VLG053,Water Pollution,Moderate,2021-06-02,Flagged via citizen report app,ENV0439.jpg,True
ENV0440,19.887555,74.408573,VLG001,Encroachment,High,2019-07-09,Noted by forest officer,ENV0440.jpg,False
ENV0441,19.914933,74.460796,VLG009,Water Pollution,Low,2025-06-11,Flagged via citizen report app,ENV0441.jpg,True
ENV0442,19.88304,74.459854,VLG053,Plastic Waste,Moderate,2017-02-09,Noted by forest officer,ENV0442.jpg,False
ENV0443,19.805355,74.418421,VLG096,Fire,High,2024-04-24,Flagged via citizen report app,ENV0443.jpg,False
ENV0444,19.814091,74.580446,VLG005,Illegal Tree Cutting,High,2025-12-15,Flagged via citizen report app,ENV0444.jpg,False
ENV0445,19.923914,74.419114,VLG097,Pesticide Runoff,Critical,2018-07-24,Reported by local resident,ENV0445.jpg,True
ENV0446,19.889263,74.506677,VLG064,Soil Erosion,Critical,2020-11-10,Flagged via citizen report app,ENV0446.jpg,False
ENV0447,19.838865,74.526556,VLG030,Pesticide Runoff,High,2025-11-02,Identified during river patrol,ENV0447.jpg,False
ENV0448,19.911819,74.589638,VLG052,Water Pollution,Low,2019-06-01,Flagged via citizen report app,ENV0448.jpg,True
ENV0449,19.828216,74.418266,VLG028,Sewage Discharge,Moderate,2021-04-29,Identified during river patrol,ENV0449.jpg,True
ENV0450,19.901433,74.381192,VLG028,Soil Erosion,Moderate,2020-04-27,Flagged via citizen report app,ENV0450.jpg,False
ENV0451,19.864347,74.453749,VLG033,Fire,Moderate,2021-11-27,Identified during river patrol,ENV0451.jpg,False
ENV0452,19.85394,74.58495,VLG085,Illegal Tree Cutting,Moderate,2023-03-29,Noted by forest officer,ENV0452.jpg,True
ENV0453,19.932876,74.37588,VLG066,Illegal Tree Cutting,High,2022-09-24,Identified during river patrol,ENV0453.jpg,True
ENV0454,19.945678,74.39968,VLG063,Soil Erosion,Critical,2025-10-05,Identified during river patrol,ENV0454.jpg,True
ENV0455,19.840687,74.578933,VLG093,Soil Erosion,High,2020-03-13,Identified during river patrol,ENV0455.jpg,False
ENV0456,19.948566,74.476198,VLG099,Plastic Waste,Low,2023-08-22,Noted by forest officer,ENV0456.jpg,False
ENV0457,19.846636,74.597608,VLG069,Sewage Discharge,Low,2018-07-02,Observed during field survey,ENV0457.jpg,False
ENV0458,19.816856,74.570871,VLG006,Pesticide Runoff,Low,2019-12-04,Flagged via citizen report app,ENV0458.jpg,True
ENV0459,19.865915,74.573673,VLG038,Fire,Low,2025-12-20,Flagged via citizen report app,ENV0459.jpg,True
ENV0460,19.903375,74.367734,VLG054,Pesticide Runoff,Low,2024-03-15,Observed during field survey,ENV0460.jpg,True
