cell_id,latitude,longitude,land_cover_type,vegetation_density,forest_percentage,water_percentage,urban_percentage
LC00752,19.927552,74.447491,Wetland,0.677,8.8,23.2,12.8
LC00753,19.859006,74.478253,Water Body,0.581,18.5,94.6,13.1
LC00754,19.894611,74.452081,Agricultural Land,0.742,16.7,2.6,10.7
LC00755,19.871475,74.484772,Agricultural Land,0.704,9.2,6.4,11.7
LC00756,19.867471,74.55868,Agricultural Land,0.497,11.3,3.7,14.9
LC00757,19.836746,74.398943,Urban/Built-up,0.765,16.2,3.7,81.5
LC00758,19.843904,74.517016,Barren/Fallow,0.254,17.5,1.8,0.4
LC00759,19.942955,74.355799,Agricultural Land,0.433,0.4,5.4,7.2
LC00760,19.852441,74.508715,Grassland,0.401,19.9,4.6,15.0
LC00761,19.835231,74.572012,Water Body,0.241,11.6,86.5,0.5
LC00762,19.933078,74.352105,Urban/Built-up,0.384,13.9,4.6,68.1
LC00763,19.931309,74.586924,Agricultural Land,0.323,1.2,1.2,10.2
LC00764,19.938015,74.5341,Forest/Grove,0.441,74.2,4.3,7.8
LC00765,19.949913,74.590734,Grassland,0.677,9.6,1.8,10.5
LC00766,19.805087,74.585898,Wetland,0.529,2.4,25.2,2.7
LC00767,19.815112,74.573858,Agricultural Land,0.592,16.3,3.5,0.1
LC00768,19.807437,74.465952,Agricultural Land,0.931,11.2,0.5,6.5
LC00769,19.865099,74.378258,Agricultural Land,0.698,10.9,4.7,4.9
LC00770,19.894181,74.440767,Forest/Grove,0.691,90.3,7.2,2.7
LC00771,19.943807,74.540278,Agricultural Land,0.174,5.3,1.7,10.4
LC00772,19.93176,74.501114,Agricultural Land,0.406,5.8,1.4,6.9
LC00773,19.9452,74.40498,Water Body,0.191,17.2,84.5,4.2
LC00774,19.888237,74.528678,Agricultural Land,0.402,15.9,6.8,14.8
LC00775,19.870508,74.439193,Urban/Built-up,0.437,13.8,2.4,96.4
LC00776,19.902539,74.504609,Forest/Grove,0.581,73.3,3.7,3.5
LC00777,19.838477,74.402765,Urban/Built-up,0.115,6.0,7.6,52.8
LC00778,19.810341,74.552502,Grassland,0.579,1.3,5.9,3.3
LC00779,19.880145,74.484369,Agricultural Land,0.553,14.0,1.0,12.2
LC00780,19.858939,74.523325,Agricultural Land,0.387,0.4,6.2,3.6
LC00781,19.802138,74.373825,Water Body,0.788,6.8,62.6,2.4
LC00782,19.903023,74.422458,Agricultural Land,0.802,18.8,2.5,3.5
LC00783,19.866568,74.553686,Wetland,0.572,6.0,29.2,7.9
LC00784,19.809961,74.481023,Barren/Fallow,0.574,3.1,5.9,7.7
LC00785,19.86965,74.481715,Urban/Built-up,0.542,13.8,4.3,55.4
LC00786,19.865923,74.375161,Grassland,0.679,3.8,7.3,4.7
LC00787,19.872322,74.465868,Agricultural Land,0.754,12.9,6.0,14.1
LC00788,19.935526,74.499552,Wetland,0.468,19.0,21.5,9.2
LC00789,19.860928,74.5888,Agricultural Land,0.733,12.8,1.2,11.3
LC00790,19.902918,74.374079,Grassland,0.419,16.3,4.9,12.4
LC00791,19.895708,74.568434,Grassland,0.763,3.1,2.2,8.9
LC00792,19.809371,74.495932,Agricultural Land,0.642,18.2,4.9,1.5
LC00793,19.941564,74.588083,Water Body,0.825,14.6,77.2,3.3
LC00794,19.921901,74.385134,Urban/Built-up,0.187,1.0,4.9,67.3
LC00795,19.925058,74.492755,Agricultural Land,0.313,12.6,7.6,2.6
LC00796,19.852823,74.380083,Grassland,0.173,12.0,7.5,12.6
LC00797,19.841705,74.423802,Grassland,0.664,5.4,2.2,4.6
LC00798,19.860419,74.394951,Water Body,0.46,19.0,83.0,13.8
LC00799,19.894847,74.354935,Agricultural Land,0.318,14.6,0.5,2.7
LC00800,19.84291,74.440962,Barren/Fallow,0.531,4.0,2.8,11.2
LC00801,19.851748,74.436111,Forest/Grove,0.303,61.0,5.1,9.9
LC00802,19.847567,74.497336,Agricultural Land,0.192,4.4,1.9,5.8
LC00803,19.903863,74.504173,Forest/Grove,0.341,84.5,3.9,11.1
LC00804,19.921277,74.469742,Agricultural Land,0.233,15.1,6.5,8.8
LC00805,19.800825,74.368201,Urban/Built-up,0.429,15.9,1.0,69.7
LC00806,19.805399,74.551101,Agricultural Land,0.308,5.5,6.2,7.8
LC00807,19.890732,74.467946,Forest/Grove,0.34,68.0,5.7,0.3
LC00808,19.890874,74.37108,Barren/Fallow,0.636,12.8,7.4,2.6
LC00809,19.852089,74.432525,Agricultural Land,0.349,8.9,1.8,5.6
LC00810,19.822542,74.578153,Agricultural Land,0.68,5.1,3.1,0.8
LC00811,19.898906,74.557198,Agricultural Land,0.707,0.3,3.1,8.5
LC00812,19.930702,74.534805,Agricultural Land,0.102,12.1,5.8,0.6
LC00813,19.911839,74.578238,Agricultural Land,0.447,1.2,7.2,7.5
LC00814,19.853437,74.552979,Barren/Fallow,0.773,0.6,6.7,14.8
LC00815,19.809106,74.497748,Forest/Grove,0.789,81.4,1.4,2.1
LC00816,19.844064,74.365885,Wetland,0.585,8.8,23.7,3.1
LC00817,19.839492,74.492431,Agricultural Land,0.399,13.4,7.3,2.9
LC00818,19.819486,74.522467,Grassland,0.464,14.9,0.6,4.2
LC00819,19.876849,74.358286,Water Body,0.67,9.5,85.6,0.3
LC00820,19.86727,74.39414,Forest/Grove,0.584,89.3,6.1,3.9
LC00821,19.836146,74.424526,Agricultural Land,0.209,8.3,0.9,10.7
LC00822,19.823899,74.537764,Agricultural Land,0.293,15.2,6.3,12.1
LC00823,19.860978,74.515727,Grassland,0.334,18.9,5.4,1.6
LC00824,19.83079,74.481839,Grassland,0.243,4.3,4.9,5.4
LC00825,19.906034,74.375393,Barren/Fallow,0.097,4.2,5.4,4.8
LC00826,19.923371,74.479282,Barren/Fallow,0.79,1.1,4.7,12.8
LC00827,19.92891,74.367739,Agricultural Land,0.686,17.7,7.0,12.4
LC00828,19.903794,74.448303,Agricultural Land,0.785,17.1,2.6,3.0
LC00829,19.848568,74.372244,Grassland,0.573,8.8,0.9,1.5
LC00830,19.800641,74.441828,Agricultural Land,0.364,15.6,7.7,11.4
LC00831,19.864717,74.53547,Forest/Grove,0.563,85.4,7.3,11.2
LC00832,19.931592,74.525043,Wetland,0.96,17.0,32.0,13.0
LC00833,19.927142,74.430687,Agricultural Land,0.578,2.5,7.4,10.8
LC00834,19.8208,74.522791,Agricultural Land,0.204,6.1,1.0,13.3
LC00835,19.825625,74.465169,Forest/Grove,0.403,74.2,6.6,1.3
LC00836,19.902715,74.53425,Barren/Fallow,0.33,12.9,8.0,2.1
LC00837,19.944122,74.565896,Wetland,0.748,2.7,32.7,1.7
LC00838,19.875342,74.37873,Water Body,0.578,18.5,81.2,13.8
LC00839,19.815944,74.462263,Barren/Fallow,0.818,13.3,7.7,9.8
LC00840,19.813682,74.490185,Barren/Fallow,0.659,15.4,4.8,4.0
LC00841,19.906403,74.48513,Forest/Grove,0.337,66.5,1.9,5.3
LC00842,19.898998,74.430986,Barren/Fallow,0.94,18.0,7.9,0.3
LC00843,19.911006,74.554185,Urban/Built-up,0.242,2.9,7.3,59.5
LC00844,19.938789,74.361429,Agricultural Land,0.631,0.5,0.1,14.9
LC00845,19.94126,74.551855,Urban/Built-up,0.143,0.7,2.5,65.4
LC00846,19.856028,74.475826,Agricultural Land,0.868,16.7,0.1,1.7
LC00847,19.855578,74.512954,Water Body,0.555,1.8,69.5,3.3
LC00848,19.902246,74.402571,Grassland,0.637,17.0,1.9,3.7
LC00849,19.829653,74.47279,Forest/Grove,0.545,72.8,5.2,2.0
LC00850,19.822671,74.420923,Agricultural Land,0.495,16.2,0.7,5.6
LC00851,19.844454,74.447721,Agricultural Land,0.314,7.5,5.0,11.0
LC00852,19.916446,74.445865,Wetland,0.09,6.9,35.8,9.4
LC00853,19.836178,74.533417,Agricultural Land,0.485,15.1,3.3,13.9
LC00854,19.82602,74.487032,Agricultural Land,0.47,19.1,5.7,0.8
LC00855,19.919363,74.435141,Forest/Grove,0.045,73.3,0.7,6.7
LC00856,19.910981,74.489667,Urban/Built-up,0.181,1.2,5.7,70.1
LC00857,19.81602,74.375725,Forest/Grove,0.824,78.6,3.8,10.7
LC00858,19.835959,74.367452,Wetland,0.46,12.2,51.3,7.0
LC00859,19.914952,74.506419,Urban/Built-up,0.79,16.4,2.0,56.6
LC00860,19.880436,74.385549,Agricultural Land,0.496,8.2,3.4,12.5
LC00861,19.818569,74.498819,Grassland,0.028,16.7,1.3,0.9
LC00862,19.812973,74.350365,Barren/Fallow,0.78,3.6,6.1,2.4
LC00863,19.928355,74.470557,Agricultural Land,0.565,14.8,4.0,6.1
LC00864,19.874326,74.364747,Urban/Built-up,0.399,8.2,2.0,87.8
LC00865,19.840603,74.444338,Barren/Fallow,0.616,12.7,6.0,13.8
LC00866,19.94363,74.585448,Agricultural Land,0.583,14.3,5.8,6.2
LC00867,19.804433,74.540743,Agricultural Land,0.06,4.3,6.3,13.2
LC00868,19.947902,74.492607,Forest/Grove,0.776,50.3,4.9,10.7
LC00869,19.921857,74.365124,Barren/Fallow,0.459,11.4,2.1,1.9
LC00870,19.890056,74.499608,Grassland,0.911,5.5,0.0,6.0
LC00871,19.917163,74.583259,Grassland,0.641,16.8,0.9,14.4
LC00872,19.904781,74.426113,Wetland,0.522,16.2,53.5,9.0
LC00873,19.903605,74.578053,Urban/Built-up,0.923,0.5,6.1,64.4
LC00874,19.927094,74.452933,Agricultural Land,0.495,13.2,5.5,12.9
LC00875,19.910874,74.490084,Urban/Built-up,0.408,12.4,2.3,85.1
LC00876,19.843462,74.553868,Wetland,0.762,13.6,36.6,11.2
LC00877,19.843252,74.44752,Grassland,0.27,2.4,7.8,9.2
LC00878,19.887128,74.543696,Agricultural Land,0.762,8.1,5.8,13.4
LC00879,19.949106,74.473292,Agricultural Land,0.636,11.0,4.2,9.8
LC00880,19.882736,74.500997,Barren/Fallow,0.627,14.1,0.4,8.0
LC00881,19.82654,74.541579,Agricultural Land,0.622,15.0,6.8,9.2
LC00882,19.927347,74.476606,Grassland,0.753,12.6,4.5,9.4
LC00883,19.882557,74.581045,Water Body,0.228,16.5,99.5,1.3
LC00884,19.856351,74.452254,Urban/Built-up,0.832,5.8,6.2,90.8
LC00885,19.819823,74.437463,Barren/Fallow,0.365,2.7,6.4,13.4
LC00886,19.899767,74.576481,Forest/Grove,0.874,87.2,1.4,4.2
LC00887,19.937127,74.40573,Grassland,0.649,4.8,2.1,6.3
LC00888,19.908697,74.370648,Agricultural Land,0.81,6.1,5.3,4.8
LC00889,19.81303,74.475356,Agricultural Land,0.244,9.2,1.4,1.5
LC00890,19.834804,74.549749,Agricultural Land,0.594,11.7,1.8,8.1
LC00891,19.811536,74.463977,Agricultural Land,0.734,7.0,3.1,3.7
LC00892,19.81379,74.395903,Water Body,0.644,13.0,73.7,5.1
LC00893,19.903543,74.361675,Urban/Built-up,0.169,3.7,2.7,77.0
LC00894,19.88063,74.447884,Barren/Fallow,0.309,17.8,3.1,11.8
LC00895,19.859599,74.389116,Grassland,0.335,18.0,2.9,5.8
LC00896,19.934564,74.546318,Grassland,0.737,2.7,6.6,3.4
LC00897,19.84428,74.419726,Wetland,0.646,17.9,25.8,4.0
LC00898,19.825267,74.433896,Wetland,0.532,1.2,51.2,8.7
LC00899,19.81229,74.583569,Grassland,0.432,18.1,4.9,14.6
LC00900,19.943572,74.362713,Agricultural Land,0.169,2.2,8.0,9.0
LC00901,19.867467,74.49479,Urban/Built-up,0.641,18.5,2.6,55.8
LC00902,19.830719,74.43763,Grassland,0.456,14.6,5.1,2.2
LC00903,19.86495,74.389478,Forest/Grove,0.861,87.2,1.1,0.3
LC00904,19.845815,74.528753,Grassland,0.297,9.5,7.5,6.6
LC00905,19.857015,74.467758,Agricultural Land,0.613,5.8,7.7,0.5
LC00906,19.88431,74.520184,Agricultural Land,0.318,15.2,2.1,13.6
LC00907,19.866256,74.435809,Agricultural Land,0.695,14.5,3.4,5.1
LC00908,19.947611,74.576247,Grassland,0.401,18.1,1.6,4.4
LC00909,19.844223,74.520386,Grassland,0.323,0.1,5.8,6.7
LC00910,19.869471,74.568933,Urban/Built-up,0.35,14.0,2.0,72.7
LC00911,19.925936,74.52297,Forest/Grove,0.656,45.1,6.6,13.8
LC00912,19.865967,74.376523,Agricultural Land,0.669,1.3,5.1,0.1
LC00913,19.81328,74.398269,Agricultural Land,0.319,8.0,7.6,11.2
LC00914,19.805338,74.543385,Agricultural Land,0.279,1.7,1.9,14.3
LC00915,19.832861,74.588615,Agricultural Land,0.904,4.6,6.0,6.4
LC00916,19.829205,74.494492,Grassland,0.845,11.0,4.1,12.8
LC00917,19.885464,74.380197,Agricultural Land,0.753,7.7,5.1,10.8
LC00918,19.932858,74.438806,Forest/Grove,0.51,56.6,7.5,0.9
LC00919,19.835043,74.509415,Grassland,0.113,12.1,6.2,0.7
LC00920,19.916486,74.373333,Agricultural Land,0.363,7.7,6.1,7.3
LC00921,19.861524,74.531078,Urban/Built-up,0.707,14.4,4.5,80.2
LC00922,19.854782,74.486417,Urban/Built-up,0.834,1.6,3.7,83.3
LC00923,19.940123,74.434425,Forest/Grove,0.672,91.8,5.4,10.6
LC00924,19.879548,74.415452,Agricultural Land,0.804,1.9,0.7,6.4
LC00925,19.881604,74.58746,Wetland,0.462,9.8,28.9,14.7
LC00926,19.826601,74.588633,Barren/Fallow,0.515,8.6,3.5,11.5
LC00927,19.825307,74.394819,Agricultural Land,0.295,19.1,4.3,6.5
LC00928,19.935208,74.515254,Barren/Fallow,0.038,5.3,3.2,1.4
LC00929,19.894462,74.505954,Agricultural Land,0.509,16.9,3.0,10.5
LC00930,19.831553,74.582226,Grassland,0.476,9.3,4.9,7.0
LC00931,19.835906,74.447217,Grassland,0.865,3.9,2.5,2.0
LC00932,19.874947,74.515606,Agricultural Land,0.335,4.1,3.2,11.2
LC00933,19.945414,74.377836,Agricultural Land,0.765,18.7,5.9,3.8
LC00934,19.918264,74.407639,Agricultural Land,0.294,10.8,7.3,10.1
LC00935,19.845781,74.355545,Barren/Fallow,0.18,19.9,3.3,5.9
LC00936,19.812116,74.449845,Urban/Built-up,0.576,7.1,0.6,57.5
LC00937,19.904025,74.597021,Water Body,0.627,16.9,61.3,11.9
LC00938,19.806907,74.45353,Agricultural Land,0.625,5.4,1.1,11.1
LC00939,19.845732,74.541219,Agricultural Land,0.511,16.3,1.8,5.2
LC00940,19.815334,74.467934,Agricultural Land,0.312,10.7,7.1,5.3
LC00941,19.884695,74.558393,Agricultural Land,0.374,13.5,3.6,12.3
LC00942,19.855534,74.518436,Agricultural Land,0.396,5.8,2.7,6.4
LC00943,19.849264,74.518364,Barren/Fallow,0.155,17.2,6.9,11.5
LC00944,19.823884,74.541763,Barren/Fallow,0.3,8.8,6.2,3.2
LC00945,19.889346,74.423904,Grassland,0.903,1.4,0.6,1.0
LC00946,19.870655,74.580704,Barren/Fallow,0.674,17.5,5.3,9.8
LC00947,19.832671,74.429436,Agricultural Land,0.793,12.7,6.4,6.7
LC00948,19.865001,74.594643,Forest/Grove,0.17,44.8,6.5,4.0
LC00949,19.863912,74.38339,Agricultural Land,0.343,15.5,6.5,2.0
LC00950,19.893915,74.437231,Water Body,0.924,1.6,61.2,2.2
LC00951,19.876577,74.565455,Urban/Built-up,0.625,8.2,4.2,54.6
LC00952,19.896196,74.406909,Grassland,0.565,13.8,4.5,14.7
LC00953,19.886492,74.466236,Barren/Fallow,0.393,3.2,2.6,8.8
LC00954,19.803197,74.369658,Agricultural Land,0.382,8.8,2.0,14.6
LC00955,19.847187,74.392414,Grassland,0.566,17.4,7.7,4.8
LC00956,19.802237,74.370255,Agricultural Land,0.832,14.6,2.4,9.3
LC00957,19.859792,74.376685,Urban/Built-up,0.503,2.7,3.5,71.4
LC00958,19.833905,74.457589,Urban/Built-up,0.503,9.3,6.8,89.5
LC00959,19.905638,74.491025,Wetland,0.527,18.7,40.8,2.9
LC00960,19.880738,74.47094,Agricultural Land,0.706,16.1,3.7,8.1
LC00961,19.850266,74.59027,Water Body,0.598,15.3,99.6,0.7
LC00962,19.907551,74.360212,Wetland,0.775,17.3,51.5,6.8
LC00963,19.913961,74.574945,Agricultural Land,0.651,1.1,6.8,1.9
LC00964,19.829352,74.358543,Agricultural Land,0.482,10.5,6.5,2.7
LC00965,19.861301,74.434594,Grassland,0.384,12.5,4.0,9.4
LC00966,19.946302,74.474352,Agricultural Land,0.349,0.3,3.0,2.0
LC00967,19.826381,74.47392,Urban/Built-up,0.379,16.9,4.7,52.7
LC00968,19.881076,74.580516,Grassland,0.499,0.8,0.8,9.4
LC00969,19.855608,74.398289,Agricultural Land,0.342,8.4,0.0,7.9
LC00970,19.886461,74.512021,Agricultural Land,0.297,17.6,6.9,11.4
LC00971,19.89391,74.564155,Agricultural Land,0.234,13.3,4.2,6.4
LC00972,19.85746,74.587964,Grassland,0.62,18.3,6.4,4.7
LC00973,19.93375,74.40151,Agricultural Land,0.733,15.4,1.0,1.8
LC00974,19.829078,74.536782,Barren/Fallow,0.511,0.1,4.3,0.5
LC00975,19.82478,74.511004,Barren/Fallow,0.97,8.5,2.7,7.2
LC00976,19.876445,74.490381,Agricultural Land,0.716,16.2,4.8,2.2
LC00977,19.827955,74.484269,Agricultural Land,0.516,16.2,5.4,14.5
LC00978,19.877962,74.542771,Barren/Fallow,0.642,19.1,2.2,6.3
LC00979,19.947205,74.504062,Wetland,0.685,6.5,51.2,5.0
LC00980,19.927197,74.491109,Agricultural Land,0.783,4.4,5.2,6.8
LC00981,19.802558,74.513436,Agricultural Land,0.005,12.7,0.1,11.5
LC00982,19.939505,74.530701,Agricultural Land,0.545,13.8,2.3,11.8
LC00983,19.842654,74.5306,Water Body,0.332,5.6,96.8,13.3
LC00984,19.925841,74.527987,Grassland,0.233,1.6,4.6,0.8
LC00985,19.89252,74.481047,Barren/Fallow,0.744,9.3,7.2,3.7
LC00986,19.9264,74.44407,Water Body,0.568,19.3,79.3,14.4
LC00987,19.89242,74.537864,Wetland,0.476,12.8,32.3,14.5
LC00988,19.923893,74.595644,Urban/Built-up,0.869,16.7,1.9,57.7
LC00989,19.828781,74.451593,Agricultural Land,0.568,3.7,1.6,11.8
LC00990,19.919113,74.397773,Agricultural Land,0.323,6.4,3.1,7.8
LC00991,19.806758,74.494671,Agricultural Land,0.468,4.3,5.3,1.4
LC00992,19.85387,74.489597,Urban/Built-up,0.359,19.7,4.3,85.9
LC00993,19.83331,74.428423,Grassland,0.441,10.3,4.9,4.7
LC00994,19.912939,74.55719,Water Body,0.643,4.3,89.8,8.8
LC00995,19.843812,74.505494,Forest/Grove,0.719,59.0,5.9,13.7
LC00996,19.830858,74.353124,Wetland,0.273,2.3,52.2,12.2
LC00997,19.923315,74.495348,Agricultural Land,0.375,0.9,1.1,3.4
LC00998,19.844311,74.527437,Water Body,0.209,12.1,69.2,8.0
LC00999,19.91103,74.35911,Agricultural Land,0.97,8.8,6.8,13.4
LC01000,19.942155,74.431792,Grassland,0.175,0.1,3.7,11.5
LC01001,19.924938,74.546015,Agricultural Land,0.7,4.2,2.9,12.2
LC01002,19.944654,74.513914,Agricultural Land,0.752,17.3,2.0,6.7
LC01003,19.867072,74.554562,Agricultural Land,0.022,17.3,1.2,2.6
LC01004,19.80332,74.548645,Wetland,0.167,18.1,42.4,13.5
LC01005,19.867124,74.574954,Agricultural Land,0.574,16.0,4.2,8.5
LC01006,19.860595,74.526397,Agricultural Land,0.645,0.7,7.7,4.8
LC01007,19.860951,74.441278,Barren/Fallow,0.12,12.9,5.4,0.7
LC01008,19.940175,74.428642,Grassland,0.625,1.6,4.8,13.0
LC01009,19.809949,74.459067,Barren/Fallow,0.85,4.4,5.6,10.6
LC01010,19.810233,74.545253,Urban/Built-up,0.855,14.5,1.0,79.1
LC01011,19.813526,74.58655,Agricultural Land,0.606,6.3,5.5,3.1
LC01012,19.811362,74.589348,Urban/Built-up,0.63,15.1,3.1,61.5
LC01013,19.858526,74.386058,Forest/Grove,0.943,54.2,1.8,9.2
LC01014,19.813109,74.522034,Agricultural Land,0.66,14.9,0.6,11.4
LC01015,19.811372,74.369454,Water Body,0.858,13.7,93.2,4.6
LC01016,19.867767,74.485854,Agricultural Land,0.66,7.7,2.4,11.0
LC01017,19.929382,74.596518,Urban/Built-up,0.906,10.5,1.1,57.1
LC01018,19.858549,74.544493,Agricultural Land,0.842,17.5,5.6,6.8
LC01019,19.836868,74.379676,Grassland,0.436,18.1,6.7,8.8
LC01020,19.816391,74.445936,Wetland,0.635,4.1,22.2,6.2
LC01021,19.809213,74.45603,Agricultural Land,0.147,13.4,5.7,4.2
LC01022,19.82361,74.511156,Forest/Grove,0.391,87.4,0.3,13.2
LC01023,19.834902,74.518004,Agricultural Land,0.944,2.2,3.5,11.6
LC01024,19.879766,74.509986,Grassland,0.151,9.4,6.0,5.9
LC01025,19.840002,74.519566,Agricultural Land,0.478,7.8,7.0,0.0
LC01026,19.825718,74.584197,Forest/Grove,0.484,94.7,7.4,0.7
LC01027,19.891191,74.396142,Urban/Built-up,0.956,0.7,7.8,66.7
LC01028,19.913679,74.458496,Barren/Fallow,0.35,14.1,7.8,4.2
LC01029,19.865106,74.419914,Wetland,0.394,2.7,30.8,14.9
LC01030,19.914402,74.590683,Forest/Grove,0.469,54.3,2.3,3.9
LC01031,19.929681,74.386736,Grassland,0.75,9.9,2.8,7.4
LC01032,19.882683,74.422726,Wetland,0.762,5.1,47.6,12.3
LC01033,19.900057,74.485889,Forest/Grove,0.757,58.3,7.3,6.7
LC01034,19.896752,74.450332,Agricultural Land,0.612,16.3,2.7,6.2
LC01035,19.822718,74.448139,Forest/Grove,0.768,59.8,0.9,8.1
LC01036,19.921968,74.414383,Agricultural Land,0.332,10.3,0.1,1.2
LC01037,19.944918,74.418474,Barren/Fallow,0.653,16.8,0.2,6.4
LC01038,19.851081,74.434232,Barren/Fallow,0.143,15.3,3.4,9.1
LC01039,19.907529,74.512721,Barren/Fallow,0.845,16.8,5.5,1.7
LC01040,19.802424,74.369536,Forest/Grove,0.651,77.3,5.5,9.4
LC01041,19.822765,74.366069,Agricultural Land,0.832,8.3,7.3,12.0
LC01042,19.821541,74.437268,Barren/Fallow,0.061,15.0,6.3,1.0
LC01043,19.862332,74.477019,Grassland,0.847,3.7,7.2,6.8
LC01044,19.876252,74.590598,Agricultural Land,0.68,14.9,4.6,9.6
LC01045,19.818414,74.351181,Wetland,0.627,14.3,48.0,8.9
LC01046,19.904063,74.594393,Barren/Fallow,0.366,13.2,4.2,2.1
LC01047,19.897144,74.433833,Agricultural Land,0.118,13.1,1.6,0.4
LC01048,19.941282,74.536747,Agricultural Land,0.262,10.7,1.6,12.0
LC01049,19.843377,74.353971,Grassland,0.563,18.5,7.6,14.7
LC01050,19.817674,74.457594,Grassland,0.673,9.1,6.7,4.3
LC01051,19.835136,74.439441,Agricultural Land,0.818,19.8,2.0,7.2
LC01052,19.900682,74.432843,Barren/Fallow,0.252,12.8,6.7,10.2
LC01053,19.800303,74.427699,Urban/Built-up,0.384,5.7,7.4,82.6
LC01054,19.883774,74.560957,Urban/Built-up,0.344,18.9,5.4,96.6
LC01055,19.80757,74.402631,Urban/Built-up,0.694,9.4,5.5,57.0
LC01056,19.90362,74.407651,Water Body,0.689,13.4,69.2,2.1
LC01057,19.825924,74.384508,Agricultural Land,0.851,5.6,7.7,1.5
LC01058,19.874445,74.490656,Forest/Grove,0.783,47.7,7.6,7.3
LC01059,19.813238,74.469575,Barren/Fallow,0.732,11.4,0.6,9.5
LC01060,19.802997,74.591281,Agricultural Land,0.864,13.4,2.9,7.5
LC01061,19.869516,74.568577,Barren/Fallow,0.901,5.3,0.5,13.9
LC01062,19.850421,74.447697,Grassland,0.643,7.2,5.9,3.6
LC01063,19.916617,74.371103,Grassland,0.145,17.8,6.0,13.9
LC01064,19.916892,74.379539,Agricultural Land,0.15,0.9,1.3,14.6
LC01065,19.878353,74.588804,Barren/Fallow,0.395,15.1,3.5,11.8
LC01066,19.817848,74.537062,Forest/Grove,0.571,89.5,1.4,11.5
LC01067,19.835346,74.429512,Urban/Built-up,0.489,10.6,2.9,52.6
LC01068,19.906414,74.572365,Grassland,0.902,12.2,4.0,2.7
LC01069,19.875827,74.59622,Urban/Built-up,0.329,3.4,5.1,58.7
LC01070,19.946246,74.524797,Agricultural Land,0.673,13.7,2.3,11.3
LC01071,19.827509,74.517778,Grassland,0.473,4.0,1.4,6.7
LC01072,19.871596,74.494832,Agricultural Land,0.387,8.7,3.7,0.6
LC01073,19.938582,74.472009,Forest/Grove,0.625,45.8,0.7,3.3
LC01074,19.869194,74.406343,Grassland,0.431,2.2,5.6,14.8
LC01075,19.863217,74.505265,Agricultural Land,0.546,5.8,0.8,14.0
LC01076,19.815574,74.404125,Agricultural Land,0.738,13.2,7.1,13.5
LC01077,19.882425,74.491165,Agricultural Land,0.414,17.4,7.9,2.5
LC01078,19.848905,74.419026,Agricultural Land,0.682,7.6,4.7,10.2
LC01079,19.854428,74.493208,Urban/Built-up,0.366,6.1,7.1,70.6
LC01080,19.841277,74.547647,Wetland,0.865,3.3,43.2,8.2
LC01081,19.832927,74.564143,Agricultural Land,0.311,9.3,0.0,5.9
LC01082,19.8609,74.558568,Barren/Fallow,0.49,6.9,1.6,9.2
LC01083,19.826259,74.395556,Barren/Fallow,0.226,16.5,3.6,9.5
LC01084,19.862904,74.395072,Agricultural Land,0.437,10.1,4.0,11.1
LC01085,19.849082,74.498623,Forest/Grove,0.511,78.6,6.5,12.1
LC01086,19.929539,74.556628,Forest/Grove,0.061,47.3,7.3,3.6
LC01087,19.916697,74.55658,Urban/Built-up,0.31,11.1,0.3,71.8
LC01088,19.831245,74.354524,Agricultural Land,0.455,12.6,2.4,8.9
LC01089,19.811927,74.368433,Agricultural Land,0.861,9.9,2.0,1.7
LC01090,19.860112,74.383024,Agricultural Land,0.573,15.7,5.9,13.1
LC01091,19.84291,74.469667,Urban/Built-up,0.393,9.5,0.4,59.0
LC01092,19.903242,74.392659,Urban/Built-up,0.546,18.0,1.5,69.0
LC01093,19.815171,74.458447,Wetland,0.454,17.4,34.3,0.5
LC01094,19.818063,74.559519,Agricultural Land,0.643,16.2,7.8,10.9
LC01095,19.853886,74.538609,Agricultural Land,0.438,8.4,0.4,0.4
LC01096,19.830621,74.427478,Barren/Fallow,0.512,0.2,6.7,13.6
LC01097,19.89925,74.555953,Grassland,0.778,1.0,5.0,13.1
LC01098,19.802354,74.571975,Agricultural Land,0.266,15.2,2.8,13.1
LC01099,19.881911,74.562161,Agricultural Land,0.415,19.5,6.2,2.6
LC01100,19.867986,74.501089,Urban/Built-up,0.436,2.7,3.3,67.9
LC01101,19.921912,74.50718,Barren/Fallow,0.572,2.3,1.6,0.3
LC01102,19.842956,74.588887,Barren/Fallow,0.842,15.2,6.8,12.4
LC01103,19.926141,74.436235,Forest/Grove,0.934,77.6,4.8,6.5
LC01104,19.808554,74.471415,Urban/Built-up,0.742,13.9,0.9,67.9
LC01105,19.886043,74.432093,Agricultural Land,0.647,14.2,4.0,10.5
LC01106,19.813593,74.560498,Barren/Fallow,0.529,3.3,5.6,11.1
LC01107,19.947282,74.514358,Agricultural Land,0.351,17.7,5.6,0.4
LC01108,19.877667,74.409706,Barren/Fallow,0.866,8.6,1.2,1.3
LC01109,19.83274,74.565565,Grassland,0.859,13.5,1.3,11.1
LC01110,19.814919,74.433779,Wetland,0.608,5.9,53.6,7.2
LC01111,19.817309,74.39856,Forest/Grove,0.257,78.0,1.6,1.2
LC01112,19.939238,74.366419,Grassland,0.292,7.0,2.1,8.8
LC01113,19.851263,74.396134,Water Body,0.725,6.9,81.5,14.7
LC01114,19.906332,74.536109,Barren/Fallow,0.446,11.5,1.2,0.5
